,Time,User,Tweet
73,2022-03-19 14:08:34+00:00,tamilstock,"அயர்லாந்து நாட்டை சார்ந்த Accenture நிறுவனம் நல்ல ரிசல்ட் கொடுத்து இருக்கிறது. இதன் பங்குகள் நியூயார்க் ஸ்டாக் exchange-ல் பட்டியல் இடப்பட்டு இருக்கிறது.

இந்த ரிசல்ட்டை வைத்து இந்திய IT நிறுவனங்களின் பங்குகள்  ஏறுமா?

1/5

#accenture #tcs #infy #nifty #banknifty"
74,2022-03-19 14:05:50+00:00,Allthegear99,"The new 2022 SG range of #Cricket #Bats are now in stock. Some fantastic willow available at very reasonable prices! 

#Believe #Become #SG #TCS #BestBats #AllTheGear #FreshStock #NewArrivals https://t.co/tJKdBV1FuG"
75,2022-03-19 13:44:49+00:00,Shraybee,Congratulations #TCS https://t.co/CAmJP8YDqY
76,2022-03-19 13:02:06+00:00,sdu_mpembe,"RT @ByTheWatchdog: #TCS Reappoints #RajeshGopinathan As CEO 
#TheWatchdogNews #NewsFirst

https://t.co/GoBrSdXBZ8"
77,2022-03-19 12:55:38+00:00,ByTheWatchdog,"#TCS Reappoints #RajeshGopinathan As CEO 
#TheWatchdogNews #NewsFirst

https://t.co/GoBrSdXBZ8"
78,2022-03-19 12:30:57+00:00,icatbangalore1,"We congratulate our #alumni Ms. Aishwarya Mohandas for starting her career as a #UIDesigner at #TCS and the variety of learning she has mentioned to have got during her Bachelor’s Degree in Media Technology (Multimedia)
#icatcollege #icatcollegebengaluru #ICATChennai https://t.co/X4oaXcaqOX"
79,2022-03-19 12:25:49+00:00,icat_college,"We congratulate our #alumni Ms. Aishwarya Mohandas for starting her career as a #UIDesigner at #TCS and the variety of learning she has mentioned to have got during her Bachelor’s Degree in Media Technology (Multimedia)
#icatcollege #icatcollegebengaluru #ICATChennai https://t.co/fvvwmxjImk"
80,2022-03-19 12:18:35+00:00,yogithakur11999,"RT @Tcs_Technology: #TCS is Powerful Software to manage hospital at their fingertips with cloud backup to secure the data.
More Details - h…"
81,2022-03-19 12:17:45+00:00,reachcsrini,"@CNBC @CNBCMakeIt #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte
#BCG
#IBM
#Infosys
#Dell
#TCS
#NASSCOM
#Wipro
#GEAviation
#Unilever
@piyushmehta322
#Apple
#Virgin
#Oracle
#Unilever
#Tesla
#PepsiCo
#CEO
#HCL #DigitalTransformation https://t.co/MdenNwf6yA"
82,2022-03-19 12:14:40+00:00,reachcsrini,"@Forbes #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte
#BCG
#IBM
#Infosys
#Dell
#TCS
#NASSCOM
#Wipro
#GEAviation
#Unilever
@piyushmehta322
#Apple
#Virgin
#Oracle
#Unilever
#Tesla
#PepsiCo
#CEO
#HCL #DigitalTransformation https://t.co/eetiD4oHql"
83,2022-03-19 12:13:17+00:00,reachcsrini,"@mitsmr #Harassed@#Genpact 
https://t.co/4SNsjsGhWV
#McKinsey
#SAP
#Data
#Python
#Accenture
#DataAnalytics
#PwC
#Deloitte
#BCG
#IBM
#Infosys
#Dell
#TCS
#NASSCOM
#Wipro
#GEAviation
#Unilever
@piyushmehta322
#Apple
#Virgin
#Oracle
#Unilever
#Tesla
#PepsiCo
#CEO
#HCL #DigitalTransformation https://t.co/YuIfdQn41b"
84,2022-03-19 12:11:56+00:00,icathyderabad,"We congratulate our #alumni Ms. Aishwarya Mohandas for starting her career as a #UIDesigner at #TCS and the variety of learning she has mentioned to have got during her Bachelor's Degree in Multimedia
#icatcollege #icatdesignandmediacollege #ICATHyderabad https://t.co/hxqBMeBO53"
85,2022-03-19 11:56:47+00:00,LogantekGeo,"@MdmAbsentMinded He needs to speak to Kim Jung Il, who is sounding humble compared to this idiot.
I think it is a sad case of the Trump-Complex Syndrome #TCS"
